state;up;down;left;right
0,2,2,0;27.517225554200266;28.182785380517284;27.469496341565442;29.70579619953093
2,2,0,2;30.89951098422531;28.04587302144808;24.86779058732431;25.271818865705537
4,0,2,2;21.325708832459267;0.0;28.406131932199024;24.512053328402626
0,4,2,4;15.986859183064011;21.641713645239726;0.46979695401904115;0.0
4,2,2,4;0.0;0.0;0.0;0.0
2,2,0,0;0.0;29.022902395597683;27.31135528107132;24.8234252356743
2,0,4,2;24.254608101660473;0.0;0.0;25.145832888537115
2,2,4,4;0.0;0.0;21.4694659711343;23.02753447464362
4,0,8,2;15.709997338433901;0.0;0.0;0.3579450999524189
4,2,8,2;18.545819906250863;4.2240154043731835;0.0;0.0
4,2,8,4;0.0;0.0;0.0;0.0
2,0,0,4;11.321612998158095;11.589067605243905;22.053616655865977;14.955376225824356
2,4,8,2;0.0;0.0;0.0;0.0
0,2,0,4;0.0;0.0;22.323725101712853;0.0
0,2,2,8;15.973389334380075;0.0;15.224575874665511;0.0
2,2,2,8;-0.7607667050777333;16.751617238344252;-0.8279166905978349;15.035722676343994
2,2,2,4;-0.461086824541765;22.051746572839036;-0.7169354924211447;18.71493219265194
4,2,0,0;0.0;29.79886284881149;0.0;0.0
4,2,0,4;0.0;22.506264974432234;12.094316308435168;0.0
8,2,8,4;-0.271;2.2688514791638603;0.0;0.0
16,2,2,4;0.0;0.0;0.0;0.0
8,0,0,2;0.0;1.076796741920155;3.3733268944744506;2.3792664882281995
2,4,8,0;0.0;24.947099148607208;0.0;5.519011870564286
2,4,2,8;17.513291745840487;0.8874156500434245;0.0;0.0
2,0,2,4;16.437059471616994;31.09318361297698;0.0;15.321174476886124
0,8,2,4;24.37179477892499;0.0;0.518309191388842;0.0
2,4,0,4;17.91015264932224;22.408959498646297;5.092912719770974;0.0
2,0,2,8;9.664949312738974;15.290422171274834;0.0;10.967501618193777
4,8,0,2;0.0;-0.7146979811148159;10.573891167146709;0.0
4,2,4,8;-0.9999444667132745;19.213911713398407;0.0;0.0
8,2,4,8;0.0;0.0;0.0;0.0
8,2,8,2;14.446661396348167;6.716065277284435;0.0;0.0
16,4,0,2;0.0;-0.4148100764119965;12.06656681948177;0.0
16,4,2,2;0.0;0.0;3.5208763247352035;13.149022673486932
16,4,2,4;10.095256668669089;6.988678835110542;0.0;0.0
